,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha_cere,param_alpha_cor,param_lambda_cere,param_lambda_cor,param_rank,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
313,29.688597838083904,15.068632362990982,0.10573720932006836,0.010657085991314841,100,1000,100,1,1,"{'alpha_cere': 100, 'alpha_cor': 1000, 'lambda_cere': 100, 'lambda_cor': 1, 'rank': 1}",-0.1361933609924317,-0.11924406295119068,-0.1659810076011299,-0.14047281051491745,0.01931874331600442,376
314,29.79538893699646,15.008553756275592,0.10139703750610352,0.0018807617839879,100,1000,100,100,1,"{'alpha_cere': 100, 'alpha_cor': 1000, 'lambda_cere': 100, 'lambda_cor': 100, 'rank': 1}",-0.14959810783971633,-0.10891503661736135,-0.16639601124066272,-0.14163638523258013,0.02413237633092235,379
315,26.651176770528156,13.28173170172914,0.10738841692606609,0.008701351302214827,100,1000,100,1000,1,"{'alpha_cere': 100, 'alpha_cor': 1000, 'lambda_cere': 100, 'lambda_cor': 1000, 'rank': 1}",-0.13648101773345933,-0.10929161961603565,-0.17235519087031573,-0.1393759427399369,0.025826845825365024,373
316,29.60980947812398,3.500261989632001,0.11877775192260742,0.012751068381511067,100,1000,1000,0.1,1,"{'alpha_cere': 100, 'alpha_cor': 1000, 'lambda_cere': 1000, 'lambda_cor': 0.1, 'rank': 1}",-0.13765398657920688,-0.11063908995181404,-0.16724726685705577,-0.13851344779602556,0.02311818084425037,369
317,17.503225406010944,12.85251535262247,0.09906617800394694,0.0011313036082185117,100,1000,1000,1,1,"{'alpha_cere': 100, 'alpha_cor': 1000, 'lambda_cere': 1000, 'lambda_cor': 1, 'rank': 1}",-0.14959498771703644,-0.11923942621413466,-0.1672518602352778,-0.1453620913888163,0.019828204047984282,382
318,28.26858727137248,5.2700259962074325,0.10791619618733723,0.00886953846265962,100,1000,1000,100,1,"{'alpha_cere': 100, 'alpha_cor': 1000, 'lambda_cere': 1000, 'lambda_cor': 100, 'rank': 1}",-0.1377560475567701,-0.11077762306003754,-0.1676030634382982,-0.1387122446850353,0.02320873977990319,370
319,28.16459067662557,2.1378765282081034,0.10438672701517741,0.007297715525698135,100,1000,1000,1000,1,"{'alpha_cere': 100, 'alpha_cor': 1000, 'lambda_cere': 1000, 'lambda_cor': 1000, 'rank': 1}",-0.13806203871850453,-0.11112087358879857,-0.16837997770491084,-0.1391876300040713,0.02338947723302873,372
320,338.7403875986735,17.741095916476414,0.10472043355305989,0.006361475601951257,1000,0.1,0.1,0.1,1,"{'alpha_cere': 1000, 'alpha_cor': 0.1, 'lambda_cere': 0.1, 'lambda_cor': 0.1, 'rank': 1}",-0.13180699125182327,-0.10312449071139923,-0.1604359076169381,-0.13178912986005353,0.023397291384575677,39
321,298.3229305744171,61.62065914482999,0.12234075864156087,0.003848989087292752,1000,0.1,0.1,1,1,"{'alpha_cere': 1000, 'alpha_cor': 0.1, 'lambda_cere': 0.1, 'lambda_cor': 1, 'rank': 1}",-0.1326688684430957,-0.10404943783415545,-0.16146556802864218,-0.13272795810196444,0.023440074236492248,83
322,308.7362542152405,15.991987866976766,0.11271349589029948,0.011503991804026155,1000,0.1,0.1,100,1,"{'alpha_cere': 1000, 'alpha_cor': 0.1, 'lambda_cere': 0.1, 'lambda_cor': 100, 'rank': 1}",-0.13327742748986446,-0.10502642348023883,-0.16342165350886076,-0.13390850149298802,0.023843928833450538,152
