,conn_type,model,modelNum,numtessels,atlas,sub,logalpha,Rin,Rout
220,normal,ridge,0,304,tessels0162,s12,4.0,0.8283395860817826,0.7633413342355482
221,normal,lasso,1,304,tessels0162,s12,-2.0,0.8232009039336575,0.7390588195605479
222,normal,WTA_old,2,304,tessels0162,s12,,0.03746116817049541,0.0367882129965053
223,normal,WTA,3,304,tessels0162,s12,,0.5339713379936091,0.4226528452817558
224,normal,ridge,0,304,tessels0162,s14,4.0,0.8310802428089895,0.657919494108651
225,normal,lasso,1,304,tessels0162,s14,-2.0,0.8262447035343391,0.6012977538793037
226,normal,WTA_old,2,304,tessels0162,s14,,0.041168703710415415,0.01905347644532624
227,normal,WTA,3,304,tessels0162,s14,,0.5385795578006811,0.27225174564602006
228,normal,ridge,0,304,tessels0162,s15,4.0,0.8256221981566173,0.7745607383194656
229,normal,lasso,1,304,tessels0162,s15,-2.0,0.8209050007078289,0.7520432105311076
230,normal,WTA_old,2,304,tessels0162,s15,,0.03694216791052782,0.02705168849647368
231,normal,WTA,3,304,tessels0162,s15,,0.5066249543121697,0.396485471684658
232,normal,ridge,0,304,tessels0162,s17,4.0,0.8228917059063697,0.7604134736921867
233,normal,lasso,1,304,tessels0162,s17,-2.0,0.8178711354740646,0.7366899116411268
234,normal,WTA_old,2,304,tessels0162,s17,,0.04659191116239528,0.03592517713829809
235,normal,WTA,3,304,tessels0162,s17,,0.5475738248568579,0.43690168066215035
236,normal,ridge,0,304,tessels0162,s18,4.0,0.8225086031898577,0.7454186180304082
237,normal,lasso,1,304,tessels0162,s18,-2.0,0.817400724604716,0.7150656145211499
238,normal,WTA_old,2,304,tessels0162,s18,,0.03928806005931804,0.043326669310194924
239,normal,WTA,3,304,tessels0162,s18,,0.4963140389016369,0.37507147660827134
240,normal,ridge,0,304,tessels0162,s19,4.0,0.8249091657190363,0.7591239536655905
241,normal,lasso,1,304,tessels0162,s19,-2.0,0.8199857130946077,0.7362152468569448
242,normal,WTA_old,2,304,tessels0162,s19,,0.021587065465845146,0.02767690836062888
243,normal,WTA,3,304,tessels0162,s19,,0.5139112865123385,0.4318153850632358
244,normal,ridge,0,304,tessels0162,s20,4.0,0.829125416531566,0.7835567513837592
