,sn,params,model,trainMode,xname,Rcv,Rnc,Ry,Rp,splits,spIdx,ginni
780,3,1.0,l2regress,crossed,tesselsWB362,0.14826889051329786,0.13226750735803205,1.0,0.40030608495226794,1,0.007400476201684994,0.43114455661999995
781,3,1.8738174228603839,l2regress,crossed,tesselsWB362,0.1507328423032703,0.135655851595016,1.0,0.40731926062013935,1,0.007412302963479392,0.43126375350599355
782,3,3.511191734215131,l2regress,crossed,tesselsWB362,0.15500354357280702,0.14132034749421665,1.0,0.41825770574161353,1,0.007429106210804307,0.4314477132495461
783,3,6.579332246575679,l2regress,crossed,tesselsWB362,0.16184840433850123,0.15043755717362137,1.0,0.4351972547214996,1,0.007450866547441415,0.43169041844004613
784,3,12.32846739442066,l2regress,crossed,tesselsWB362,0.17194770592675088,0.1643284585413808,1.0,0.4600206616281043,1,0.007473909697918543,0.43193791778448987
785,3,23.101297000831593,l2regress,crossed,tesselsWB362,0.185632172016678,0.18422081585602146,1.0,0.4937590573996766,1,0.007493950596878538,0.4320594011604334
786,3,43.28761281083057,l2regress,crossed,tesselsWB362,0.20264696523948,0.2107408827445534,1.0,0.5360607834818504,1,0.007507212229227913,0.4319046207210791
787,3,81.11308307896869,l2regress,crossed,tesselsWB362,0.22184472815400652,0.24300533627135212,1.0,0.5845817798341986,1,0.007498508807489548,0.4312455162229992
788,3,151.99110829529332,l2regress,crossed,tesselsWB362,0.24104040871157068,0.2779945961659677,1.0,0.6343702748318488,1,0.007440788823000777,0.4298148563008096
789,3,284.8035868435799,l2regress,crossed,tesselsWB362,0.25762007664508396,0.31142408742848765,1.0,0.6787046692702241,1,0.007298391667174497,0.4272417991053878
790,3,533.6699231206308,l2regress,crossed,tesselsWB362,0.26969196782447796,0.33998553043557467,1.0,0.7117908947174161,1,0.007055666670460156,0.42351183249735624
791,3,1000.0,l2regress,crossed,tesselsWB362,0.2765019833177226,0.36274572379112335,1.0,0.730242347613761,1,0.006734376001523943,0.4190169084672501
792,4,1.0,l2regress,crossed,tesselsWB362,0.03302954557221865,0.09500730744142113,1.0,0.3370888934349783,1,0.007218259358386386,0.4251805154473665
793,4,1.8738174228603839,l2regress,crossed,tesselsWB362,0.03352968248524186,0.09548386256231145,1.0,0.3415860062566589,1,0.007227060970513233,0.42525542721883763
794,4,3.511191734215131,l2regress,crossed,tesselsWB362,0.03476411214395473,0.09681083831808095,1.0,0.35004869407967093,1,0.007241222623964368,0.42539392576941115
795,4,6.579332246575679,l2regress,crossed,tesselsWB362,0.03704247895621352,0.09918662555740482,1.0,0.36418579342233187,1,0.007261219156500222,0.42560487140855935
796,4,12.32846739442066,l2regress,crossed,tesselsWB362,0.04080577238153329,0.1028386556614643,1.0,0.3857306807551716,1,0.0072846784597349655,0.4258535265810047
797,4,23.101297000831593,l2regress,crossed,tesselsWB362,0.04656009532333232,0.10802746971049913,1.0,0.41547818821869364,1,0.007309114155153793,0.4260652859469604
798,4,43.28761281083057,l2regress,crossed,tesselsWB362,0.054652667290468505,0.1150427928621345,1.0,0.4518540470450712,1,0.007322572666072018,0.4261941528625417
799,4,81.11308307896869,l2regress,crossed,tesselsWB362,0.06491085056335541,0.12404542762122242,1.0,0.49022431509435116,1,0.007313211021057027,0.42615544230439845
800,4,151.99110829529332,l2regress,crossed,tesselsWB362,0.07643795327777378,0.13488999969422824,1.0,0.5244572742370217,1,0.007259294222756849,0.4258166279794048
801,4,284.8035868435799,l2regress,crossed,tesselsWB362,0.08786043629141338,0.14726601228503972,1.0,0.5500680219860953,1,0.007146171569098496,0.4248822788114843
802,4,533.6699231206308,l2regress,crossed,tesselsWB362,0.09784859043551912,0.16102188819835914,1.0,0.5659137998454555,1,0.006974925536553981,0.42332273864959075
803,4,1000.0,l2regress,crossed,tesselsWB362,0.10538375746469432,0.17621744383537738,1.0,0.5723529662363627,1,0.006769752658096872,0.4211397457013228
804,6,1.0,l2regress,crossed,tesselsWB362,0.17677441411045908,0.21878180509261957,1.0,0.45178235823778623,1,0.007749146812813963,0.43491857072696793
805,6,1.8738174228603839,l2regress,crossed,tesselsWB362,0.1803245865718533,0.22337767332722422,1.0,0.4583212911260703,1,0.007767984781079799,0.43500596058989777
806,6,3.511191734215131,l2regress,crossed,tesselsWB362,0.1863120764466348,0.23112414367365183,1.0,0.46923135426350293,1,0.007799109133152387,0.43513815105361314
807,6,6.579332246575679,l2regress,crossed,tesselsWB362,0.19567603255630597,0.24318887588669774,1.0,0.48661944922681677,1,0.007846304999235436,0.43532761309506424
808,6,12.32846739442066,l2regress,crossed,tesselsWB362,0.20908376814073562,0.26029978953336474,1.0,0.5123390525844349,1,0.007910533508162492,0.43555134905313253
809,6,23.101297000831593,l2regress,crossed,tesselsWB362,0.22648622963595086,0.28212675374093166,1.0,0.5470579141051184,1,0.007980865158022144,0.4356986359407632
810,6,43.28761281083057,l2regress,crossed,tesselsWB362,0.24683924429668966,0.307003814297435,1.0,0.5894046512091032,1,0.00802827200599416,0.43567223474383604
811,6,81.11308307896869,l2regress,crossed,tesselsWB362,0.2682690699102737,0.33239380206548863,1.0,0.6357338962218704,1,0.008014258160399333,0.4351677349148187
812,6,151.99110829529332,l2regress,crossed,tesselsWB362,0.2888186070377851,0.3560424505709531,1.0,0.6812803596271614,1,0.007910762360877217,0.4339207085396925
813,6,284.8035868435799,l2regress,crossed,tesselsWB362,0.3071659550301423,0.37683983655902287,1.0,0.7218999712027475,1,0.007717367227028771,0.43188678939993463
814,6,533.6699231206308,l2regress,crossed,tesselsWB362,0.32248128610745014,0.39446776803739353,1.0,0.7546095384266596,1,0.007449512254503953,0.42907361426070584
815,6,1000.0,l2regress,crossed,tesselsWB362,0.33402148797815406,0.40862412953593413,1.0,0.7775763800506184,1,0.007118200133486666,0.42565662759771006
816,8,1.0,l2regress,crossed,tesselsWB362,0.16432970917058537,0.2214319177440439,1.0,0.4312621982850126,1,0.007883132922183397,0.43403363594540156
817,8,1.8738174228603839,l2regress,crossed,tesselsWB362,0.16693963163485467,0.22589136519571199,1.0,0.4361302989219439,1,0.00790151454845021,0.4341912672180557
818,8,3.511191734215131,l2regress,crossed,tesselsWB362,0.17125285024769255,0.2330998269672338,1.0,0.4443857262339035,1,0.007933975763890981,0.43444465074206534
819,8,6.579332246575679,l2regress,crossed,tesselsWB362,0.17790384926949074,0.24385156512168898,1.0,0.45754810589423084,1,0.007986724357495903,0.4348215527050732
820,8,12.32846739442066,l2regress,crossed,tesselsWB362,0.18733352619227256,0.2583263068020112,1.0,0.47721024373942394,1,0.008065955113197467,0.43532396529407885
821,8,23.101297000831593,l2regress,crossed,tesselsWB362,0.19951787822464348,0.2757445123374708,1.0,0.5044923131109794,1,0.008170071334478618,0.435888713551104
822,8,43.28761281083057,l2regress,crossed,tesselsWB362,0.21374994867313096,0.2945307483503591,1.0,0.5387560656993503,1,0.00827811340722436,0.4363529695988632
823,8,81.11308307896869,l2regress,crossed,tesselsWB362,0.228616756534011,0.31290910588980025,1.0,0.576364314290785,1,0.008344735664895016,0.4365428674174488
824,8,151.99110829529332,l2regress,crossed,tesselsWB362,0.24233037720239103,0.32946525381089475,1.0,0.6121420013436851,1,0.008299036462667986,0.4360602870331616
825,8,284.8035868435799,l2regress,crossed,tesselsWB362,0.25327908276894423,0.3433575192799306,1.0,0.6429082533183046,1,0.008114353186991337,0.43465532868521545
826,8,533.6699231206308,l2regress,crossed,tesselsWB362,0.26046188325367403,0.3542952325911518,1.0,0.6677676804048162,1,0.007810625735489379,0.43221805758321624
827,8,1000.0,l2regress,crossed,tesselsWB362,0.26356555266193155,0.3624590014462934,1.0,0.6847464891717565,1,0.007432902994182476,0.42848909079355885
828,9,1.0,l2regress,crossed,tesselsWB362,0.14154455398885032,0.2091342261889641,1.0,0.5021307899576495,1,0.0082026434151663,0.43509679167776766
829,9,1.8738174228603839,l2regress,crossed,tesselsWB362,0.14389573501450928,0.21413408035636805,1.0,0.5108305424809314,1,0.008244284384898905,0.4353767528016189
830,9,3.511191734215131,l2regress,crossed,tesselsWB362,0.14799816545015046,0.22242490125380948,1.0,0.5246810953226191,1,0.00831217606448004,0.4358007587047377
831,9,6.579332246575679,l2regress,crossed,tesselsWB362,0.15463284053446164,0.23507885145177465,1.0,0.5447158147769064,1,0.008416062521506913,0.4363698963973737
