,sn,params,model,trainMode,xname,Rcv,Rnc,Ry,Rp,splits,spIdx,ginni
81,group,6.0,plsregress,crossed,tesselsWB642,0.5940082854027037,0.6547861567424511,1.0,0.918934008300139,1,0.0031767986045350637,0.39661866802222756
82,group,7.0,plsregress,crossed,tesselsWB642,0.6034273192843226,0.6621757664614594,1.0,0.9183450319242349,1,0.0033635317490602426,0.40256288375255445
83,group,8.0,plsregress,crossed,tesselsWB642,0.5805046056064661,0.6140624973835156,1.0,0.9485993679395939,1,0.004084975493985206,0.421808492580274
84,group,9.0,plsregress,crossed,tesselsWB642,0.5924379192772058,0.623136770492576,1.0,0.9341454585820353,1,0.004366681243658228,0.4214858468052476
85,group,10.0,plsregress,crossed,tesselsWB642,0.5829229306623595,0.615459532847715,1.0,0.9177998010034989,1,0.004445649267896654,0.4221103140486447
86,group,11.0,plsregress,crossed,tesselsWB642,0.5909630637223037,0.6237364986422453,1.0,0.9119333579960688,1,0.004535648165100011,0.42498975067846073
87,group,12.0,plsregress,crossed,tesselsWB642,0.5844403161575847,0.6195440991057173,1.0,0.9148485927036182,1,0.004564878779669353,0.42431531493947966
88,group,13.0,plsregress,crossed,tesselsWB642,0.5862982751068866,0.6288609782207019,1.0,0.9134737888085488,1,0.0060911285776979246,0.4323575108097762
89,group,14.0,plsregress,crossed,tesselsWB642,0.587061499433169,0.6301369412214717,1.0,0.9120210404611506,1,0.007320283437057834,0.4333363287810342
90,group,15.0,plsregress,crossed,tesselsWB642,0.588106914967207,0.6310266828511234,1.0,0.9114651536447007,1,0.007085741729079108,0.4350069129972775
91,group,16.0,plsregress,crossed,tesselsWB642,0.584914113147189,0.6256284176905347,1.0,0.9102833098267576,1,0.0072656873521446475,0.43565771188447483
92,group,17.0,plsregress,crossed,tesselsWB642,0.5813344466396011,0.6209461069466261,1.0,0.9123213470982633,1,0.006943851553045254,0.4347496611069062
93,group,18.0,plsregress,crossed,tesselsWB642,0.5811194990600639,0.622416226386704,1.0,0.906582931245299,1,0.006509587998902959,0.4355920255814248
94,group,19.0,plsregress,crossed,tesselsWB642,0.5802162549739577,0.6214881282256357,1.0,0.9051765487288845,1,0.006442470020634209,0.43496347723318624
95,group,20.0,plsregress,crossed,tesselsWB642,0.5866491079827645,0.6271991632446702,1.0,0.9049821844094884,1,0.006406538227186265,0.43442179652762747
